Position,Song,Streams (Billions),Artist Name,Release Date
77,Mood,1590,24kGoldn and Iann Dior,7/24/2020
61,Faded,1666,Alan Walker,12/3/2015
84,Do I Wanna Know?,1547,Arctic Monkeys,6/19/2013
34,7 Rings,1868,Ariana Grande,1/18/2019
71,"Thank U, Next",1615,Ariana Grande,11/3/2018
46,Wake Me Up,1756,Avicii,6/17/2013
78,Dakiti,1589,Bad Bunny and Jhay Cortez,10/30/2020
15,Bad Guy,2181,Billie Eilish,3/29/2019
21,Lovely,2059,Billie Eilish and Khalid,4/19/2018
86,That's What I Like,1538,Bruno Mars,11/18/2016
82,Dynamite,1556,BTS,8/21/2020
57,One Kiss,1678,Calvin Harris and Dua Lipa,4/6/2018
37,Havana,1834,Camila Cabello featuring Young Thug,8/3/2017
100,Rockstar,1478,DaBaby featuring Roddy Ricch,4/17/2020
52,Let Me Love You,1701,DJ Snake featuring Justin Bieber,8/5/2016
20,God's Plan,2079,Drake,1/19/2018
7,One Dance,2491,Drake featuring Wizkid and Kyla,4/5/2016
19,Don't Start Now,2100,Dua Lipa,11/1/2019
40,New Rules,1789,Dua Lipa,6/2/2017
75,Levitating,1598,Dua Lipa featuring DaBaby,10/1/2020
1,Shape of You,3327,Ed Sheeran,1/6/2017
12,Perfect,2267,Ed Sheeran,3/3/2017
16,Thinking Out Loud,2131,Ed Sheeran,6/20/2014
23,Photograph,2036,Ed Sheeran,6/20/2014
68,I Don't Care,1619,Ed Sheeran and Justin Bieber,5/10/2019
74,Lose Yourself,1605,Eminem,10/28/2002
88,Till I Collapse,1515,Eminem featuring Nate Dogg,5/26/2002
80,Unforgettable,1577,French Montana featuring Swae Lee,4/7/2017
14,Heat Waves,2190,Glass Animals,6/29/2020
63,Without Me,1640,Halsey,10/4/2018
22,Watermelon Sugar,2052,Harry Styles,5/15/2020
50,As It Was,1716,Harry Styles,4/1/2022
30,Take Me to Church,1916,Hozier,9/13/2013
9,Believer,2326,Imagine Dragons,2/1/2017
33,Thunder,1874,Imagine Dragons,4/27/2017
73,Demons,1606,Imagine Dragons,9/4/2012
92,No Role Modelz,1500,J. Cole,8/4/2014
13,Say You Won't Let Go,2193,James Arthur,9/9/2016
96,I'm Yours,1490,Jason Mraz,2/12/2008
31,All of Me,1915,John Legend,8/12/2013
17,Lucid Dreams,2119,Juice WRLD,5/4/2018
27,Love Yourself,1948,Justin Bieber,11/9/2015
49,Sorry,1721,Justin Bieber,10/22/2015
43,Humble,1762,Kendrick Lamar,3/30/2017
26,Shallow,1970,Lady Gaga and Bradley Cooper,9/27/2018
93,I Like Me Better,1496,Lauv,5/19/2017
4,Someone You Loved,2588,Lewis Capaldi,11/8/2018
76,Montero (Call Me by Your Name),1592,Lil Nas X,3/26/2021
69,Industry Baby,1618,Lil Nas X featuring Jack Harlow,7/23/2021
38,XO Tour Llif3,1808,Lil Uzi Vert,3/24/2017
79,Despacito (remix),1585,Luis Fonsi and Daddy Yankee featuring Justin Bieber,4/17/2017
97,Despacito,1490,Luis Fonsi featuring Daddy Yankee,1/12/2017
94,7 Years,1494,Lukas Graham,6/16/2015
51,Can't Hold Us,1702,Macklemore & Ryan Lewis featuring Ray Dalton,8/16/2011
54,Lean On,1698,Major Lazer and DJ Snake featuring MØ,3/2/2015
66,Uptown Funk,1632,Mark Ronson featuring Bruno Mars,11/10/2014
67,Memories,1621,Maroon 5,9/20/2019
99,Sugar,1480,Maroon 5,8/29/2014
95,Girls Like You,1491,Maroon 5 featuring Cardi B[B],5/30/2018
41,Happier,1778,Marshmello and Bastille,8/17/2018
65,I Took a Pill in Ibiza (Seeb Remix),1633,Mike Posner and Seeb,4/14/2015
98,Smells Like Teen Spirit,1487,Nirvana,9/10/1991
85,Wonderwall,1542,Oasis,10/30/1995
53,Good 4 U,1699,Olivia Rodrigo,5/14/2021
59,Drivers License,1669,Olivia Rodrigo,1/8/2021
42,Counting Stars,1767,OneRepublic,3/25/2013
45,Let Her Go,1756,Passenger,7/24/2012
29,Circles,1928,Post Malone,8/30/2019
56,Better Now,1679,Post Malone,4/27/2018
6,Sunflower,2502,Post Malone and Swae Lee,10/18/2018
5,Rockstar,2570,Post Malone featuring 21 Savage,9/15/2017
60,Congratulations,1667,Post Malone featuring Quavo,11/4/2016
24,Bohemian Rhapsody,2006,Queen,10/31/1975
83,The Box,1551,Roddy Ricch,12/6/2019
55,Roses (Imanbek Remix),1691,Saint Jhn with Imanbek,9/18/2019
62,Stay with Me,1653,Sam Smith,4/14/2014
70,Too Good at Goodbyes,1618,Sam Smith,9/8/2017
58,Treat You Better,1669,Shawn Mendes,6/3/2016
89,There's Nothing Holdin' Me Back,1515,Shawn Mendes,4/20/2017
90,Stitches,1510,Shawn Mendes,4/14/2015
10,Señorita,2305,Shawn Mendes and Camila Cabello,6/21/2019
87,Cheap Thrills,1522,Sia,1/29/2016
25,Something Just Like This,1999,The Chainsmokers and Coldplay,2/22/2017
64,Don't Let Me Down,1635,The Chainsmokers featuring Daya,2/5/2016
8,Closer,2430,The Chainsmokers featuring Halsey,7/29/2016
11,Stay,2295,The Kid Laroi and Justin Bieber,7/9/2021
72,Mr. Brightside,1613,The Killers,6/7/2004
32,Sweater Weather,1899,The Neighbourhood,3/28/2012
2,Blinding Lights,3323,The Weeknd,11/29/2019
48,The Hills,1721,The Weeknd,5/27/2015
18,Starboy,2110,The Weeknd featuring Daft Punk,9/21/2016
3,Dance Monkey,2721,Tones And I,5/10/2019
44,Sicko Mode,1757,Travis Scott featuring Drake,8/3/2018
35,Goosebumps,1863,Travis Scott featuring Kendrick Lamar,9/2/2016
39,Stressed Out,1808,Twenty One Pilots,4/28/2015
47,Riptide,1734,Vance Joy,5/21/2013
91,See You Again,1501,Wiz Khalifa featuring Charlie Puth,3/10/2015
28,SAD!,1947,XXXTentacion,3/1/2018
36,Jocelyn Flores,1861,XXXTentacion,10/31/2017
81,Moonlight,1560,XXXTentacion,3/16/2018
